Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa)
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,7.9,158.0
27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,7.4,346.0
27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,7.0,794.0
27,Al1 Co1 Fe1 Ni1,BCC,CAST,6.6,964.0
27,Co1 Fe1 Ni1,FCC,CAST,8.5,204.0
27,Co1 Fe1 Ni1,FCC,CAST,8.5,209.0
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,7.7,196.0
27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,7.1,476.0
27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,6.6,1301.0
2,Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,6.8,2033.0
5,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,1251.0
6,Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.7,957.0
6,Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.6,906.0
6,Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.5,867.0
6,Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.5,1056.0
6,Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.4,1060.0
6,Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,5.9,1255.0
6,Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,6.2,1251.0
6,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,1138.0
7,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,6.8,1804.0
7,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,6.9,2456.0
7,Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,7.0,2649.0
7,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,7.0,2670.0
7,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,7.1,2757.0
7,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,1051.0
8,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,6.8,1641.0
8,Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,6.8,1959.0
8,Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,7.0,2473.0
8,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,1373.0
12,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,1110.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,CAST,5.7,2411.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,6.5,1265.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,6.2,1481.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,6.0,1834.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,5.8,2179.0
13,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,7.5,750.0
13,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,7.1,1580.0
13,Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,6.8,1900.0
13,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,7.8,700.0
14,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,6.2,1860.0
14,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,6.4,2260.0
14,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,CAST,6.1,2220.0
17,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,8.0,230.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,ANNEAL,7.9,200.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,7.8,620.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,ANNEAL,7.7,740.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,7.7,1660.0
19,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.3,1406.0
19,Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,CAST,6.5,1487.0
19,Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,6.8,1749.0
19,Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,CAST,7.0,1513.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,7.4,1272.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,7.8,700.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec.,CAST,7.6,1042.0
28,Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,CAST,7.1,1005.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,7.1,1303.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+BCC,CAST,6.6,1234.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC,CAST,6.9,1469.0
35,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,5.9,980.0
35,Al1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,6.1,1074.0
35,Al1 Cu1 Ni1 Ti1,FCC,CAST,5.7,300.0
36,Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,FCC+Sec.,CAST,2.9,488.0
36,Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,FCC+Sec.,CAST,3.0,415.0
36,Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec.,CAST,2.9,546.0
36,Al1 Li1 Mg1 Sn1 Zn1,FCC+HCP+Sec.,CAST,3.9,600.0
39,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,7.7,1965.0
