Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa),Strength-to-Weight Ratio (MPa·cm³/g)
12,Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,CAST,5.7,2411.0,422.98245614035085
7,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,7.1,2757.0,388.3098591549296
7,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,7.0,2670.0,381.42857142857144
7,Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,7.0,2649.0,378.42857142857144
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,5.8,2179.0,375.6896551724138
14,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,CAST,6.1,2220.0,363.93442622950823
7,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,6.9,2456.0,355.94202898550725
8,Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,7.0,2473.0,353.2857142857143
14,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,6.4,2260.0,353.125
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,BCC+B2,CAST,6.5,2228.7,342.87692307692305
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,BCC+B2,CAST,6.5,2185.1,336.16923076923075
206,Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286,BCC+Sec.,POWDER,8.0,2680.0,335.0
107,Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,7.4,2475.41,334.5148648648648
233,Cr1 Fe1 Mo1 Nb1 V1,BCC+Laves,CAST,8.1,2663.0,328.7654320987655
264,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,BCC+B2,CAST,6.6,2161.7,327.530303030303
